51300056018,afa,27,62
51300062497,eec,190,140
51300080051,gfd,219,24
51300083355,cbg,183,186
51300098490,dbb,168,114
51300103962,dgb,31,126
51300152798,gfa,128,135
51300185526,gga,14,35
51300201011,cfd,72,186
51300240213,dba,57,130
51300352247,dec,169,102
51300404855,eaa,146,183
51300404946,aaf,75,187
51300410147,edb,231,245
51300477827,egb,171,77
51300489804,bcf,185,282
51300493864,dfb,122,287
51300644339,bag,125,112
51300651067,fff,203,118
51300654823,dce,29,266
51300680529,aec,285,220
51300681040,bgc,277,16
51300712153,gfd,79,22
51300740622,aga,125,294
51300741045,dfc,157,277
51300761099,bcd,278,253
51300787506,ebd,213,266
51300818295,dea,233,136
51300826298,acg,278,111
51300828124,ada,71,83
51300912366,fac,159,185
51300925971,cgc,163,293
51300942615,fde,84,227
51300943264,ffb,63,109
51300953748,fbf,147,141
51300972235,efb,65,150
51301012198,eec,196,165
51301034349,ggg,127,26
51301084933,dde,7,145
51301107712,fcg,237,234
51301114814,cdg,299,218
51301169209,geb,33,180
51301203457,dba,180,140
51301276047,eca,39,282
51301319162,dcb,21,216
51301323592,gda,216,35
51301329290,dcc,223,31
51301335307,dbd,239,146
51301343339,abg,104,130
51301375427,cab,130,172
51301414813,cbe,79,260
51301462572,dfg,36,203
51301488436,fdc,176,32
51301499281,eeb,263,296
51301500980,ceb,6,136
51301540534,gdg,118,91
51301602309,gea,82,128
51301604602,cbd,171,173
51301662862,acb,43,240
51301684885,eaf,164,16
51301693419,dda,95,21
51301810172,cdg,262,235
51301833473,gaa,185,243
51301859029,gga,134,28
51301894745,gba,270,243
51301895428,dad,30,239
51301901320,faf,75,19
51301925910,bdg,17,172
51301937009,gcd,276,248
51301969067,cbg,99,219
51301972053,bcf,261,287
51301983450,cdd,9,228
51301994567,gca,129,57
51302116230,fca,190,67
51302162880,dea,21,145
51302170850,bdb,90,134
51302206314,ebc,171,95
51302211150,gcg,56,11
51302256941,bee,74,156
51302260312,fec,91,251
51302278636,ede,22,107
51302294669,efe,21,29
51302302572,dgf,274,105
51302316697,bge,91,115
51302355893,abe,95,139
51302461110,gaf,261,108
51302470944,fcd,264,10
51302480277,gcb,86,131
51302481189,aef,70,268
51302487184,ffe,70,258
51302506315,acf,299,193
51302543175,deg,193,130
51302543412,geg,256,166
51302547608,agf,266,258
51302558439,edc,159,86
51302563521,abg,280,104
51302567643,daf,155,8
51302579307,gcd,168,277
51302580318,fff,263,138
51302585578,bgg,227,24
51302589710,edc,149,83
51302594156,fcf,294,52
51302597772,dac,298,126
51302613554,dgg,122,288
51302662405,fdb,271,34
51302679076,eea,279,214
51302706252,cda,291,68
51302708955,cea,25,142
51302737211,adb,207,171
51302740317,cdc,281,25
51302752291,bba,138,49
51302772409,dac,120,108
51302785498,cdf,36,42
51302822460,fdf,85,17
51302828226,cfc,170,197
51302845090,fga,2,78
51302892022,gbb,132,268
51302912160,cbd,73,159
51302913745,afa,192,71
51302930137,eff,247,267
51302944023,beb,140,212
51302949820,abb,204,104
51302977720,age,171,183
51302991281,aeb,243,241
51303012257,faf,10,15
51303012956,ddb,244,260
51303016139,cef,158,176
51303018506,abe,50,155
51303050225,ada,249,67
51303062779,bgb,133,78
51303065992,eag,205,122
51303074377,agd,268,30
51303087349,fdc,173,37
51303102589,bbe,241,191
51303116620,eff,49,275
51303128318,fbc,251,247
51303136984,dea,230,160
51303177655,def,255,250
51303181597,bca,154,252
51303192129,ccb,179,95
51303193115,eec,283,171
51303208770,cbf,205,54
51303216998,gea,181,140
51303218608,deg,44,124
51303219758,fcf,41,43
51303222041,dec,246,111
51303255265,bag,7,124
51303287116,fbd,228,72
51303318934,geg,80,185
51303424622,ffc,36,293
51303424891,dgg,286,342
51303468335,bfa,58,152
51303470066,efd,249,20
51303470322,dbb,299,120
51303478049,cgf,61,228
51303497949,eda,67,235
51303500689,gca,107,51
51303503618,gcc,131,215
51303534809,dfb,140,301
51303555360,bcc,118,177
51303564569,fge,177,128
51303575038,fef,117,38
51303582220,dcc,14,28
51303624792,aaf,173,205
51303654676,aaa,83,18
51303676976,gfc,145,77
51303685676,ecd,168,286
51303734685,eca,48,242
51303735787,gaa,143,194
51303744161,cad,92,165
51303753594,beg,247,283
51303775723,cgb,269,219
51303802591,fcb,186,149
51303807472,cbe,92,296
51303812165,fgc,278,277
51303874506,gbf,36,279
51303887178,caf,264,36
51303903837,deb,200,262
51303911147,cfb,182,76
51303925888,abc,193,158
51303969905,fdb,269,32
51303974508,eeg,236,87
51304000092,gbe,132,34
51304028874,cda,240,68
51304039256,gca,187,55
51304083513,cea,209,153
51304115725,dab,103,251
51304116406,cgg,222,181
51304117849,bbg,282,255
51304122207,agc,71,91
51304130578,bdc,15,229
51304144315,bfb,63,43
51304155735,edd,139,151
51304167340,dfe,182,30
51304169859,ffa,75,149
51304196020,aee,18,270
51304200830,gde,189,297
51304218507,ded,104,233
51304224608,dgb,40,119
51304232277,fbb,175,232
51304239188,dda,273,23
51304240433,fcg,53,236
51304240964,ddb,244,293
51304265912,abb,179,99
51304344839,ecf,202,262
51304355580,ace,75,194
51304369236,gda,128,33
51304395687,afb,271,274
51304407289,fde,124,256
51304410107,baa,152,57
51304410762,gec,121,202
51304429583,ccb,167,102
51304445344,gba,125,206
51304449368,cbb,212,131
51304450010,gea,11,128
51304458672,gee,23,24
51304468127,gff,280,162
51304494159,fce,186,288
51304522096,aeg,25,287
51304522155,cde,30,75
51304530191,cac,94,131
51304531037,bcb,202,166
51304578828,abb,287,97
51304580007,eed,125,71
51304585170,afd,153,165
51304585215,ege,227,151
51304613586,ebd,130,273
51304625067,dce,294,223
51304632892,cga,143,198
51304634416,ecb,51,88
51304677068,efd,26,21
51304695645,bad,132,174
51304700905,gdf,139,17
51304705260,egf,149,20
51304727571,eag,60,131
51304745337,gea,209,138
51304751290,bde,94,287
51304764794,eba,16,9
51304784640,bff,220,277
51304791072,dcf,140,123
51304832673,dga,114,65
51304873800,deb,186,282
51304897395,cbc,13,165
51304918478,ddg,136,194
51304987454,bdg,84,146
51305012271,eca,273,212
51305017438,fcg,271,254
51305022414,eab,87,87
51305027393,gfa,243,112
51305031346,eaa,30,201
51305089748,fed,13,230
51305166477,ecd,244,291
51305186361,cge,291,134
51305188614,efc,212,156
51305222653,ade,142,223
51305253992,eae,256,68
51305291836,cbb,105,133
51305338848,ecc,91,23
51305342832,edg,74,207
51305368605,dff,297,273
51305373974,edb,50,276
51305382478,adg,114,256
51305384275,gge,292,47
51305415189,acc,10,46
51305418457,adf,162,42
51305432900,ced,195,88
51305457639,ggb,276,292
51305462513,dca,190,124
51305487021,beg,150,308
51305497983,afe,149,144
51305507686,ffe,279,232
51305521733,ebd,128,273
51305550234,bab,128,261
51305552457,beg,131,289
51305554105,ggc,133,229
51305558932,ddf,196,263
51305559475,dbg,170,250
51305569927,fca,289,78
51305598569,ggd,223,270
51305614626,bcg,214,193
51305638781,bac,275,109
51305652603,fdf,294,19
51305682621,bga,240,288
51305739484,gbg,190,216
51305745555,ecf,60,303
51305746384,cgc,168,339
51305765599,dfe,27,30
51305777698,bdd,154,197
51305778268,bgc,73,18
51305803521,abd,233,270
51305843745,adc,8,22
51305846198,fab,209,227
51305846337,beg,99,242
51305858155,ecg,142,158
51305883247,fcg,297,302
51305904126,fdf,6,21
51305934132,cgc,1,288
51305935526,cgd,69,130
51305947368,bgd,188,246
51305999707,bga,60,302
51306031289,aag,261,141
51306032588,gge,286,46
51306056200,bce,8,53
51306109878,aea,103,231
51306110203,gbd,12,34
51306116274,fee,269,158
51306124844,cca,82,69
51306149429,bbb,260,79
51306150832,bed,63,255
51306155053,add,12,143
51306171809,egb,177,73
51306212550,beb,37,207
